id,pattern_id,created_at,updated_at,name,equipment_options,default_equipment,regression,progression,coaching_cues,sections,can_be_primary,equipment_display_names
bench-press,press-horizontal,2026-02-04 03:26:17.459181+00,2026-02-04 03:26:17.459181+00,Bench Press,"{barbell,dumbbells}",barbell,,,"{""Feet flat, back arched"",""Bar to mid-chest"",""Drive through heels""}","{primary_lift,accessory}",t,"{""barbell"": ""Barbell Bench Press"", ""dumbbells"": ""Dumbbell Bench Press""}"
bench-press-decline,press-horizontal,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Bench Press (Decline),{barbell},barbell,,,"{""Secure feet"",""Bar to lower chest"",""Control the descent""}","{primary_lift,accessory}",t,
bench-press-incline,press-horizontal,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Bench Press (Incline),{barbell},barbell,,,"{""30-45 degree angle"",""Bar to upper chest"",""Shoulder blades pinched""}","{primary_lift,accessory}",t,
bicep-curls,pull-accessory,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Bicep Curls,"{dumbbells,barbell,cable_machine}",dumbbells,,,"{""Elbows fixed"",""Full range of motion"",""Control the negative""}",{accessory},f,
bicycles,core-flexion,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Bicycles,{bodyweight},bodyweight,,,"{""Opposite elbow to knee"",""Extend leg fully"",""Controlled pace""}","{core,warmup,conditioning}",f,
bird-dogs,core-anti-rotation,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Bird Dogs,{bodyweight},bodyweight,,,"{""On all fours"",""Extend opposite arm and leg"",""Keep hips level""}","{core,warmup,mobility}",f,
box-jumps,conditioning-plyometric,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Box Jumps,{box},box,,,"{""Swing arms for power"",""Land softly"",""Step down to reset""}","{conditioning,warmup}",f,
box-squat,squat-bilateral,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Box Squat,"{barbell,box}",barbell,,,"{""Sit back onto box"",""Pause briefly"",""Explode up""}","{primary_lift,accessory}",t,
box-step-ups,squat-unilateral,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Box Step-ups,"{box,dumbbells}",box,,,"{""Full foot on box"",""Drive through heel"",""Minimal push from rear leg""}","{accessory,conditioning}",f,
bulgarian-split-squat,squat-unilateral,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Bulgarian Split Squat,"{dumbbells,barbell,bodyweight}",dumbbells,,,"{""Rear foot elevated"",""Vertical shin on front leg"",""Control the descent""}",{accessory},f,
burpees,conditioning-plyometric,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Burpees,{bodyweight},bodyweight,,,"{""Chest to floor"",""Explosive jump"",""Full extension at top""}","{conditioning,warmup}",f,
cable-chest-flys,press-horizontal,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Cable Chest Flys,{cable_machine},cable_machine,,,"{""Constant tension"",""Hands meet at center"",""Control both directions""}",{accessory},f,
cable-pull-through,hinge-hip-thrust,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Cable Pull-Through,{cable_machine},cable_machine,,,"{""Face away from cable"",""Hinge and pull through"",""Squeeze glutes at top""}",{accessory},f,
cable-rows,pull-horizontal,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Cable Rows,{cable_machine},cable_machine,,,"{""Chest up"",""Pull to stomach"",""Squeeze shoulder blades""}",{accessory},f,
cable-woodchops,core-rotation,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Cable Woodchops,{cable_machine},cable_machine,,,"{""High to low or low to high"",""Rotate through core"",""Arms stay extended""}",{core},f,
cat-cow,mobility-stretch,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Cat-Cow,{bodyweight},bodyweight,,,"{""Alternate arch and round"",""Move with breath"",""Full spinal movement""}","{warmup,mobility}",f,
childs-pose,mobility-stretch,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Child's Pose,{bodyweight},bodyweight,,,"{""Sit back on heels"",""Arms extended or by sides"",""Relax and breathe""}","{warmup,mobility,cooldown}",f,
chin-ups,pull-vertical,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Chin-ups,"{bodyweight,pullup_bar}",bodyweight,pull-ups,,"{""Supinated grip"",""Chin over bar"",""More bicep involvement""}",{accessory},f,
clean-pull,power-clean,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Clean Pull,{barbell},barbell,,,"{""Triple extension"",""Shrug at top"",""No catch""}",{accessory},f,
close-grip-bench,press-horizontal,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Close-Grip Bench Press,{barbell},barbell,,,"{""Hands shoulder-width"",""Elbows tucked"",""Tricep emphasis""}",{accessory},f,
cossack-squat-weighted,squat-unilateral,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Cossack Squat (Weighted),"{dumbbells,kettlebells}",kettlebells,,,"{""Side-to-side movement"",""Heel stays down"",""Full depth on working leg""}",{accessory},f,
couch-stretch,mobility-stretch,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Couch Stretch,{bodyweight},bodyweight,,,"{""Back foot on wall or couch"",""Squeeze glute"",""Hip flexor stretch""}","{warmup,mobility,cooldown}",f,
curl-to-press,pull-accessory,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Curl to Press,{dumbbells},dumbbells,,,"{""Curl then press overhead"",""One fluid motion"",""Control both phases""}",{accessory},f,
db-chest-flys,press-horizontal,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Dumbbell Chest Flys,{dumbbells},dumbbells,,,"{""Slight elbow bend"",""Wide arc motion"",""Squeeze chest at top""}",{accessory},f,
db-incline-press,press-horizontal,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Dumbbell Incline Press,{dumbbells},dumbbells,,,"{""30-45 degree angle"",""Weights touch at top"",""Full stretch at bottom""}",{accessory},f,
db-thruster,power-thruster,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Dumbbell Thruster,{dumbbells},dumbbells,,,"{""Dumbbells at shoulders"",""Full squat depth"",""Press overhead at top""}","{accessory,conditioning}",f,
dead-bugs,core-anti-rotation,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Dead Bugs,{bodyweight},bodyweight,,,"{""Lower back flat"",""Opposite arm and leg extend"",""Control the movement""}","{core,warmup,mobility}",f,
deadlift,hinge-deadlift,2026-01-21 04:20:14.697239+00,2026-02-04 03:26:17.459181+00,Deadlift,{barbell},barbell,rdl,,"{""Neutral spine"",""Bar close to body"",""Hip and knee extension together""}","{primary_lift,accessory}",t,
decline-push-ups,press-horizontal,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Decline Push-ups,{bodyweight},bodyweight,push-ups,,"{""Feet elevated"",""Targets upper chest"",""Full range of motion""}","{accessory,conditioning}",f,
dips,press-vertical,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Dips,{bodyweight},bodyweight,,,"{""Lean forward for chest"",""Upright for triceps"",""Full range of motion""}",{accessory},f,
downward-dog,mobility-stretch,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Downward Dog,{bodyweight},bodyweight,,,"{""Hips high"",""Heels toward floor"",""Straight arms""}","{warmup,mobility,cooldown}",f,
external-rotation,pull-accessory,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,External Rotation,"{cable_machine,resistance_bands}",cable_machine,,,"{""Elbow at 90 degrees"",""Rotate outward"",""Rotator cuff health""}",{accessory},f,
face-pulls,pull-accessory,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Face Pulls,"{cable_machine,resistance_bands}",cable_machine,,,"{""Pull to face level"",""External rotation at peak"",""Squeeze rear delts""}",{accessory},f,
farmers-carry,conditioning-carry,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Farmers Carry,"{dumbbells,kettlebells}",dumbbells,,,"{""Tall posture"",""Shoulders back"",""Controlled steps""}","{accessory,conditioning}",f,
flutter-kicks,core-stability,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Flutter Kicks,{bodyweight},bodyweight,,,"{""Lower back pressed down"",""Small kicks"",""Continuous movement""}","{core,warmup,conditioning}",f,
foam-rolling,mobility-stretch,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Foam Rolling,{foam_roller},foam_roller,,,"{""Roll slowly"",""Pause on tight spots"",""Breathe through discomfort""}","{warmup,cooldown}",f,
front-squat,squat-bilateral,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Front Squat,{barbell},barbell,,,"{""Elbows high, upper back tight"",""Upright torso"",""Full depth""}","{primary_lift,accessory}",t,
frontal-raises,press-accessory,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Frontal Raises,{dumbbells},dumbbells,,,"{""Lift to shoulder height"",""Control the descent"",""Avoid swinging""}",{accessory},f,
glute-bridge,hinge-hip-thrust,2026-01-21 04:20:14.697239+00,2026-02-04 03:26:17.459181+00,Glute Bridge,"{bodyweight,dumbbells,barbell}",bodyweight,,rdl,"{""Feet hip-width"",""Squeeze glutes at top"",""Do not hyperextend""}",{accessory},f,"{""barbell"": ""Barbell Glute Bridge"", ""dumbbells"": ""Dumbbell Glute Bridge"", ""bodyweight"": ""Bodyweight Glute Bridge""}"
goblet-reverse-lunges,squat-unilateral,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Goblet Reverse Lunges,"{dumbbells,kettlebells}",dumbbells,,,"{""Weight at chest"",""Step back with control"",""Front knee stable""}",{accessory},f,
goblet-squat,squat-bilateral,2026-01-21 04:20:14.697239+00,2026-02-04 03:26:17.459181+00,Goblet Squat,"{dumbbells,kettlebells}",dumbbells,air-squat,back-squat,"{""Weight at chest"",""Elbows inside knees"",""Upright torso""}","{accessory,warmup}",f,"{""dumbbells"": ""Dumbbell Goblet Squat"", ""kettlebells"": ""Kettlebell Goblet Squat""}"
good-morning,hinge-deadlift,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Good Morning,{barbell},barbell,,,"{""Bar on back"",""Hinge at hips"",""Slight knee bend""}",{accessory},f,
hack-squat,squat-machine,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Hack Squat,{hack_squat},hack_squat,,,"{""Shoulder pads secure"",""Full depth"",""Control the negative""}",{accessory},f,
hammer-curls,pull-accessory,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Hammer Curls,{dumbbells},dumbbells,,,"{""Neutral grip"",""Targets brachialis"",""No swinging""}",{accessory},f,
hang-clean,power-clean,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Hang Clean,{barbell},barbell,,,"{""Start at hang position"",""Explosive hip drive"",""Fast turnover""}","{primary_lift,accessory}",t,
hang-snatch,power-snatch,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Hang Snatch,{barbell},barbell,,,"{""Start at hang"",""Wide grip"",""Catch overhead""}","{primary_lift,accessory}",t,
hanging-knee-tucks,core-flexion,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Hanging Knee Tucks,{pullup_bar},pullup_bar,,,"{""Dead hang start"",""Bring knees to chest"",""Control the descent""}",{core},f,
hanging-leg-raises,core-flexion,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Hanging Leg Raises,{pullup_bar},pullup_bar,leg-raises,toes-to-bar,"{""Dead hang"",""Straight legs to parallel"",""Control the descent""}",{core},f,
high-pulls,pull-vertical,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,High Pulls,"{kettlebells,dumbbells}",kettlebells,,,"{""Explosive hip drive"",""Elbows high"",""Weight close to body""}","{accessory,conditioning}",f,
hip-circles,mobility-stretch,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Hip Circles,{bodyweight},bodyweight,,,"{""Standing or all fours"",""Full range of motion"",""Both directions""}","{warmup,mobility}",f,
hip-thrust,hinge-hip-thrust,2026-01-21 04:20:14.697239+00,2026-02-05 17:43:34.092717+00,Hip Thrust,"{dumbbells,bodyweight}",bodyweight,,,"{""Shoulders on bench"",""Drive through heels"",""Full hip extension at top""}",{accessory},f,"{""dumbbells"": ""Dumbbell Hip Thrust"", ""bodyweight"": ""Bodyweight Hip Thrust""}"
hollow-body-hold,core-stability,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Hollow Body Hold,{bodyweight},bodyweight,,,"{""Lower back pressed to floor"",""Arms and legs extended"",""No arch in back""}","{core,warmup}",f,
incline-db-fly,press-horizontal,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Incline Dumbbell Fly,{dumbbells},dumbbells,,,"{""Incline bench"",""Wide arc"",""Upper chest focus""}",{accessory},f,
internal-rotation,pull-accessory,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Internal Rotation,"{cable_machine,resistance_bands}",cable_machine,,,"{""Elbow at 90 degrees"",""Rotate inward"",""Prehab exercise""}",{accessory},f,
inverted-rows,pull-horizontal,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Inverted Rows,"{bodyweight,barbell}",bodyweight,,,"{""Body straight"",""Pull chest to bar"",""Scale with body angle""}",{accessory},f,
jump-rope,conditioning-plyometric,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Jump Rope,{bodyweight},bodyweight,,,"{""Stay on balls of feet"",""Wrists do the work"",""Relaxed shoulders""}","{conditioning,warmup}",f,
l-sit,core-stability,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,L-Sit,{bodyweight},bodyweight,,,"{""Legs parallel to floor"",""Arms straight"",""Depress shoulders""}",{core},f,
landmine-press,press-vertical,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Landmine Press,{barbell},barbell,,,"{""Staggered stance"",""Press at angle"",""Core engaged""}","{primary_lift,accessory}",t,
landmine-rotation,core-rotation,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Landmine Rotation,{barbell},barbell,,,"{""Rotate from hips"",""Arms extended"",""Control the arc""}","{accessory,core}",f,
lat-pulldown,pull-vertical,2026-01-21 04:20:14.697239+00,2026-01-21 17:47:31.281621+00,Lat Pulldown,{cable_machine},cable_machine,assisted-pull-ups,pull-ups,"{""Lean back slightly"",""Pull to upper chest"",""Squeeze lats at bottom""}",{accessory},f,
lateral-lunges,squat-unilateral,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Lateral Lunges,"{dumbbells,bodyweight}",dumbbells,,,"{""Step wide to side"",""Sit back into hip"",""Push back to start""}",{accessory},f,
lateral-raises,press-accessory,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Lateral Raises,{dumbbells},dumbbells,,,"{""Slight bend in elbow"",""Lead with pinky"",""Control the negative""}",{accessory},f,
leg-curl,hinge-deadlift,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Leg Curl,{leg_curl_extension},leg_curl_extension,,,"{""Full range of motion"",""Control the negative"",""Squeeze hamstrings""}",{accessory},f,
leg-extension,squat-machine,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Leg Extension,{leg_curl_extension},leg_curl_extension,,,"{""Controlled movement"",""Squeeze at top"",""Do not use momentum""}",{accessory},f,
leg-press,squat-bilateral,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Leg Press,{leg_press},leg_press,,,"{""Full range of motion"",""Do not lock knees"",""Control the negative""}","{primary_lift,accessory}",t,
leg-raises,core-flexion,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Leg Raises,{bodyweight},bodyweight,,hanging-leg-raises,"{""Keep legs straight"",""Lower with control"",""Press lower back down""}",{core},f,
leg-swings,mobility-stretch,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Leg Swings,{bodyweight},bodyweight,,,"{""Forward/back and side/side"",""Controlled swing"",""Hold something for balance""}","{warmup,mobility}",f,
meadows-row,pull-horizontal,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Meadows Row,{barbell},barbell,,,"{""Landmine setup"",""Staggered stance"",""Pull to hip""}",{accessory},f,
mountain-climbers,core-stability,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Mountain Climbers,{bodyweight},bodyweight,,,"{""Plank position"",""Drive knees to chest"",""Keep hips level""}","{core,warmup,conditioning}",f,
muscle-clean,power-clean,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Muscle Clean,{barbell},barbell,,,"{""No dip under"",""Pull and turn over"",""Upper body strength""}",{accessory},f,
nordic-curl,hinge-deadlift,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Nordic Curl,{bodyweight},bodyweight,,,"{""Control the descent"",""Use hands to push back up"",""Progress slowly""}",{accessory},f,
overhead-carry,conditioning-carry,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Overhead Carry,"{dumbbells,kettlebells}",kettlebells,,,"{""Weight locked overhead"",""Core tight"",""Controlled steps""}","{accessory,conditioning}",f,
overhead-tricep-extension,press-isolation,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Overhead Tricep Extension,"{dumbbells,cable_machine}",dumbbells,,,"{""Elbows by ears"",""Full stretch at bottom"",""Squeeze at top""}",{accessory},f,
pallof-press,core-anti-rotation,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Pallof Press,"{cable_machine,resistance_bands}",cable_machine,,,"{""Resist rotation"",""Press straight out"",""Hold at extension""}",{core},f,
pause-squat,squat-bilateral,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Pause Squat,{barbell},barbell,,,"{""2-3 second pause at bottom"",""Stay tight in hole"",""No bounce""}","{primary_lift,accessory}",t,
pendlay-row,pull-horizontal,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Pendlay Row,{barbell},barbell,,,"{""Bar from floor each rep"",""Explosive pull"",""Torso parallel""}","{primary_lift,accessory}",t,
pigeon-stretch,mobility-stretch,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Pigeon Stretch,{bodyweight},bodyweight,,,"{""Front shin parallel if possible"",""Square hips"",""Breathe into stretch""}","{warmup,mobility,cooldown}",f,
plank,core-stability,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Plank,{bodyweight},bodyweight,,,"{""Straight line from head to heels"",""Engage core"",""Do not sag hips""}","{core,warmup}",f,
power-clean,power-clean,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Power Clean,{barbell},barbell,,,"{""Triple extension"",""High pull, fast elbows"",""Catch in quarter squat""}","{primary_lift,accessory}",t,
preacher-curls,pull-accessory,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Preacher Curls,"{dumbbells,barbell}",dumbbells,,,"{""Arms on pad"",""Full extension"",""Isolation movement""}",{accessory},f,
pull-ups,pull-vertical,2026-01-21 04:20:14.697239+00,2026-01-21 17:47:31.281621+00,Pull-ups,"{bodyweight,pullup_bar}",bodyweight,lat-pulldown,chin-ups,"{""Dead hang start"",""Chin over bar"",""Control the descent""}",{accessory},f,
push-jerk,power-jerk,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Push Jerk,{barbell},barbell,,,"{""Dip, drive, dip under"",""Catch with soft knees"",""Stand to finish""}","{primary_lift,accessory}",t,
push-press,press-vertical,2026-01-21 04:20:14.697239+00,2026-02-05 17:43:34.092717+00,Push Press,"{barbell,dumbbells}",barbell,,,"{""Dip and drive"",""Quick hip extension"",""Catch overhead with straight arms""}","{primary_lift,accessory}",t,"{""barbell"": ""Barbell Push Press"", ""dumbbells"": ""Dumbbell Push Press""}"
push-ups,press-horizontal,2026-01-21 04:20:14.697239+00,2026-01-21 17:47:31.281621+00,Push-ups,{bodyweight},bodyweight,,decline-push-ups,"{""Body in straight line"",""Chest to floor"",""Full arm extension""}","{accessory,conditioning,warmup}",f,
rack-carry,conditioning-carry,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Front Rack Carry,{kettlebells},kettlebells,,,"{""Bells in rack position"",""Elbows up"",""Upright posture""}","{accessory,conditioning}",f,
rdl,hinge-deadlift,2026-02-04 03:26:17.459181+00,2026-02-04 03:26:17.459181+00,RDL,"{barbell,dumbbells,kettlebells}",barbell,glute-bridge,deadlift,"{""Slight knee bend"",""Hinge at hips"",""Feel hamstring stretch""}","{primary_lift,accessory}",t,"{""barbell"": ""Barbell RDL"", ""dumbbells"": ""Dumbbell RDL"", ""kettlebells"": ""Kettlebell RDL""}"
rear-delt-flys,pull-accessory,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Rear Delt Flys,"{dumbbells,cable_machine}",dumbbells,,,"{""Bent over position"",""Lead with elbows"",""Squeeze rear delts""}",{accessory},f,
renegade-push-ups,press-horizontal,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Renegade Push-ups,{dumbbells},dumbbells,,,"{""Push-up then row"",""Minimize hip rotation"",""Wide stance for stability""}","{accessory,conditioning}",f,
reverse-hyper,hinge-extension,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Reverse Hyperextension,{bodyweight},bodyweight,,,"{""Torso fixed"",""Lift legs with glutes"",""Control the swing""}",{accessory},f,
reverse-lunges,squat-unilateral,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Reverse Lunges,"{dumbbells,barbell,bodyweight}",dumbbells,,,"{""Step back with control"",""Front knee stable"",""Drive through front heel""}",{accessory},f,
rowing-machine,conditioning-locomotion,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Rowing Machine,{rowing_machine},rowing_machine,,,"{""Legs, back, arms sequence"",""Drive through heels"",""Controlled return""}","{conditioning,warmup}",f,
runners,conditioning-locomotion,2026-01-21 04:20:14.697239+00,2026-01-21 04:20:14.697239+00,Runners (High Knees),{bodyweight},bodyweight,,,"{""Drive knees high"",""Quick turnover"",""Stay on balls of feet""}","{conditioning,warmup}",f,
russian-twists,core-anti-rotation,2026-01-21 04:20:14.697239+00,2026-02-04 03:26:17.459181+00,Russian Twists,"{bodyweight,dumbbells,kettlebells}",bodyweight,,,"{""Lean back slightly"",""Rotate from core"",""Feet off ground for challenge""}",{core},f,"{""dumbbells"": ""Dumbbell Russian Twists"", ""bodyweight"": ""Bodyweight Russian Twists"", ""kettlebells"": ""Kettlebell Russian Twists""}"
shrugs,pull-accessory,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Shrugs,"{dumbbells,barbell}",dumbbells,,,"{""Straight up, not rolling"",""Hold at top"",""Control the negative""}",{accessory},f,
side-plank,core-stability,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Side Plank,{bodyweight},bodyweight,,,"{""Stack feet or stagger"",""Hips up"",""Straight line""}",{core},f,
single-leg-glute-bridge,hinge-hip-thrust,2026-01-21 17:47:31.281621+00,2026-01-21 17:47:31.281621+00,Single-Leg Glute Bridge,{bodyweight},bodyweight,,,"{""One leg extended"",""Drive through heel"",""Level hips""}","{accessory,core}",f,
