exercise_id,muscle_group,role
leg-swings,hamstrings,synergist
leg-swings,hip_flexors,primary
meadows-row,biceps,synergist
meadows-row,lats,primary
meadows-row,rhomboids,synergist
meadows-row,traps,synergist
mountain-climbers,core,primary
mountain-climbers,delts,stabilizer
mountain-climbers,hip_flexors,synergist
muscle-clean,biceps,synergist
muscle-clean,core,stabilizer
muscle-clean,delts,synergist
muscle-clean,traps,primary
nordic-curl,calves,synergist
nordic-curl,glutes,stabilizer
nordic-curl,hamstrings,primary
overhead-carry,core,primary
overhead-carry,delts,primary
overhead-carry,traps,synergist
overhead-carry,triceps,stabilizer
overhead-tricep-extension,triceps,primary
pallof-press,core,primary
pallof-press,obliques,primary
pause-squat,core,stabilizer
pause-squat,erectors,stabilizer
pause-squat,glutes,primary
pause-squat,quads,primary
pendlay-row,biceps,synergist
pendlay-row,erectors,stabilizer
pendlay-row,lats,primary
pendlay-row,rhomboids,primary
pendlay-row,traps,synergist
pigeon-stretch,glutes,primary
pigeon-stretch,hip_flexors,primary
plank,core,primary
plank,delts,stabilizer
plank,glutes,stabilizer
power-clean,core,stabilizer
power-clean,delts,synergist
power-clean,erectors,stabilizer
power-clean,glutes,primary
power-clean,hamstrings,primary
power-clean,quads,synergist
power-clean,traps,synergist
preacher-curls,biceps,primary
pull-ups,biceps,synergist
pull-ups,core,stabilizer
pull-ups,forearms,stabilizer
pull-ups,lats,primary
pull-ups,rhomboids,synergist
push-jerk,core,stabilizer
push-jerk,delts,primary
push-jerk,glutes,synergist
push-jerk,quads,synergist
push-jerk,triceps,synergist
push-press,core,stabilizer
push-press,delts,primary
push-press,glutes,synergist
push-press,quads,synergist
push-press,triceps,synergist
push-ups,core,stabilizer
push-ups,delts,synergist
push-ups,pecs,primary
push-ups,triceps,synergist
rack-carry,biceps,synergist
rack-carry,core,primary
rack-carry,erectors,stabilizer
rack-carry,glutes,stabilizer
rdl,core,stabilizer
rdl,erectors,synergist
rdl,glutes,primary
rdl,hamstrings,primary
rear-delt-flys,delts,primary
rear-delt-flys,rhomboids,synergist
rear-delt-flys,traps,synergist
renegade-push-ups,core,primary
renegade-push-ups,lats,synergist
renegade-push-ups,pecs,primary
renegade-push-ups,triceps,synergist
reverse-hyper,erectors,synergist
reverse-hyper,glutes,primary
reverse-hyper,hamstrings,synergist
reverse-lunges,core,stabilizer
reverse-lunges,glutes,primary
reverse-lunges,hamstrings,synergist
reverse-lunges,quads,primary
rowing-machine,biceps,synergist
rowing-machine,core,stabilizer
rowing-machine,glutes,synergist
rowing-machine,lats,primary
rowing-machine,quads,primary
runners,calves,synergist
runners,core,stabilizer
runners,hip_flexors,primary
runners,quads,synergist
russian-twists,core,synergist
russian-twists,obliques,primary
shrugs,forearms,stabilizer
shrugs,traps,primary
side-plank,core,synergist
side-plank,glutes,stabilizer
side-plank,obliques,primary
single-leg-glute-bridge,core,stabilizer
single-leg-glute-bridge,glutes,primary
single-leg-glute-bridge,hamstrings,synergist
single-leg-rdl,core,stabilizer
single-leg-rdl,erectors,synergist
single-leg-rdl,glutes,primary
single-leg-rdl,hamstrings,primary
sissy-squat,core,stabilizer
sissy-squat,hip_flexors,synergist
sissy-squat,quads,primary
skull-crushers,triceps,primary
sled-pull,biceps,synergist
sled-pull,glutes,primary
sled-pull,hamstrings,primary
sled-pull,lats,synergist
sled-push,calves,synergist
sled-push,core,stabilizer
sled-push,delts,stabilizer
sled-push,glutes,primary
sled-push,quads,primary
snatch,core,stabilizer
snatch,delts,synergist
snatch,glutes,primary
snatch,hamstrings,primary
snatch,traps,synergist
snatch-grip-deadlift,core,stabilizer
snatch-grip-deadlift,erectors,primary
snatch-grip-deadlift,glutes,primary
snatch-grip-deadlift,hamstrings,primary
snatch-grip-deadlift,lats,synergist
snatch-grip-deadlift,traps,synergist
sotts-press,core,stabilizer
sotts-press,delts,primary
sotts-press,quads,synergist
sotts-press,triceps,synergist
split-jerk,core,stabilizer
split-jerk,delts,primary
split-jerk,glutes,synergist
split-jerk,hip_flexors,stabilizer
split-jerk,quads,synergist
split-jerk,triceps,synergist
split-squat,core,stabilizer
split-squat,glutes,primary
split-squat,hamstrings,synergist
split-squat,quads,primary
squat-clean,core,stabilizer
squat-clean,glutes,primary
squat-clean,hamstrings,synergist
squat-clean,quads,primary
squat-clean,traps,synergist
squat-jumps,calves,synergist
squat-jumps,core,stabilizer
squat-jumps,glutes,primary
squat-jumps,quads,primary
straight-arm-pulldown,core,stabilizer
straight-arm-pulldown,lats,primary
straight-arm-pulldown,triceps,synergist
strict-press,core,stabilizer
strict-press,delts,primary
strict-press,traps,stabilizer
strict-press,triceps,synergist
suitcase-carry,core,primary
suitcase-carry,forearms,primary
suitcase-carry,obliques,primary
suitcase-carry,traps,synergist
sumo-deadlift,adductors,synergist
sumo-deadlift,core,stabilizer
sumo-deadlift,erectors,synergist
sumo-deadlift,glutes,primary
sumo-deadlift,hamstrings,primary
sumo-deadlift,quads,synergist
sumo-squat,adductors,primary
sumo-squat,core,stabilizer
sumo-squat,glutes,primary
sumo-squat,hamstrings,synergist
sumo-squat,quads,primary
swing,core,synergist
swing,delts,stabilizer
swing,erectors,synergist
swing,glutes,primary
swing,hamstrings,primary
thoracic-rotations,erectors,primary
thoracic-rotations,obliques,synergist
three-point-row,biceps,synergist
three-point-row,core,stabilizer
three-point-row,lats,primary
three-point-row,rhomboids,synergist
thruster,core,stabilizer
thruster,delts,primary
thruster,glutes,primary
thruster,quads,primary
thruster,triceps,synergist
toes-to-bar,core,primary
toes-to-bar,forearms,stabilizer
toes-to-bar,hip_flexors,synergist
toes-to-bar,lats,synergist
trap-bar-deadlift,core,stabilizer
trap-bar-deadlift,erectors,synergist
trap-bar-deadlift,glutes,primary
trap-bar-deadlift,hamstrings,synergist
trap-bar-deadlift,quads,primary
trap-bar-deadlift,traps,synergist
tricep-cable-pulldowns,triceps,primary
tricep-extensions,triceps,primary
v-ups,core,primary
v-ups,hip_flexors,synergist
walking-lunges,core,stabilizer
walking-lunges,glutes,primary
walking-lunges,hamstrings,synergist
walking-lunges,quads,primary
walking-lunges-oh,core,stabilizer
walking-lunges-oh,delts,stabilizer
walking-lunges-oh,glutes,primary
walking-lunges-oh,quads,primary
worlds-greatest-stretch,core,synergist
worlds-greatest-stretch,hamstrings,primary
worlds-greatest-stretch,hip_flexors,primary
